case,idx,stream,tag,local_id,rate_s-1,tes_total_keV,bgo_total_keV,x,y,z,layer,local_x_m45,local_y_m45,local_z_m45,n_pix,source_file
current_prompt_final,60459,prompt,eplus,182309,0.0006792218562725798,510.99890000000005,0.0,-5.377153819416831,0.35924581122098304,-2.8846306725881403,1.0,-1.7624800193870005,0.35924581122098304,-5.841963838998571,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,60875,prompt,eplus,188885,0.0006792218562725798,510.99887300000006,0.0,-4.100730474470537,0.7761244268559438,-4.962913785220802,3.0,0.6096556656573799,0.7761244268559438,-6.408964318290271,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,62069,prompt,eplus,207007,0.0006792218562725798,510.99897999999996,0.0,-4.932136804459532,-1.6589162752313908,-2.471714799454081,1.0,-1.739781084319956,-1.6589162752313908,-5.235313676026212,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,62664,prompt,eplus,216163,0.0006792218562725798,510.9989,0.0,-1.334885726543834,0.734214039814254,-3.988682333916962,4.0,1.8765175769633924,0.734214039814254,-3.7643310756599457,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,63719,prompt,eplus,233066,0.0006792218562725798,510.99890500000004,0.0,-3.9540734044579393,1.1755835551427414,-5.001968134201188,3.0,0.7409734693710948,1.1755835551427414,-6.33287770457427,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,64712,prompt,eplus,4412,0.0006792218562725798,510.998977,0.0,-4.138570347677252,0.5244542963176704,-1.555495318648636,1.0,-1.8265098693397728,0.5244542963176704,-4.026312445180532,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,65704,prompt,eplus,19872,0.0006792218562725798,510.9989280000001,0.0,-1.7309902687008087,1.1659680258455258,-4.158521174346407,3.9999999999999996,1.716523564921923,1.1659680258455258,-4.164513479254455,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,65730,prompt,eplus,20315,0.0006792218562725798,510.9989,0.0,-1.7983779145033385,0.9855410584970926,-4.4316989922864805,4.0,1.8620391911419274,0.9855410584970926,-4.405329628104791,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,71378,prompt,eplus,107525,0.0006792218562725798,510.998907833,0.0,-1.8503169909046506,0.46193805826988177,-4.5092637704304,4.0,1.880159298616789,0.46193805826988177,-4.496902681843521,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,71873,prompt,eplus,115114,0.0006792218562725798,510.99892,0.0,-5.03862083624529,-1.1069890422858428,-2.553946133193432,1.0,-1.7569303315706404,-1.1069890422858428,-5.368755590703115,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,72932,prompt,eplus,131774,0.0006792218562725798,510.99887,0.0,-2.422242670334547,0.3605127966110871,-6.7830868779395255,5.0,3.083582510895556,0.3605127966110871,-6.509150946641496,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,73021,prompt,eplus,133277,0.0006792218562725798,510.99890000000005,0.0,-1.971619218257652,1.1757416523952988,-6.2711488569281855,5.0,3.0402265634164802,1.1757416523952988,-5.828517201711892,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,76335,prompt,eplus,184658,0.0006792218562725798,510.99889999999994,0.0,-4.615748907325632,-0.2705605352244007,-0.4908159601852959,0.0,-2.916768058862743,-0.2705605352244007,-3.6108866463859606,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,76612,prompt,eplus,189419,0.0006792218562725798,510.9989,0.0,-1.3316440507107155,0.4342464451348721,-5.65065457385466,5.0,3.0540016289311414,0.4342464451348721,-4.937230705699681,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,79236,prompt,eplus,230886,0.0006792218562725798,510.99886,0.0,-2.0900559447852785,0.6526487611400229,-6.452752198610149,5.0,3.0848921053367127,0.6526487611400229,-6.040677568570567,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
current_prompt_final,81507,prompt,eplus,23934,0.0006792218562725798,510.99890000000005,0.0,-4.695274617314635,-0.4927783258681613,-0.5004484729524251,0.0,-2.9661900125771385,-0.4927783258681613,-3.6739310302953627,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
