VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Active_Shield_Top05,55134,Cs-134,0.0,3986.0,65158740.969984,0.10082938693332302,3986
CsI_Active_Shield_Side04,53124,I-124,0.0,59.0,360806.4,0.09996399720247727,59
CsI_Active_Shield_Top04,55134,Cs-134,0.0,3948.0,65158740.969984,0.09986863141785231,3948
CsI_Active_Shield_Side04,55130,Cs-130,0.0,54.0,1752.6000000000001,0.09977592561403953,54
CsI_Active_Shield_Side02,55131,Cs-131,0.0,82.0,837129.6,0.0996693907833786,82
CsI_Active_Shield_Bottom00,53124,I-124,0.0,58.0,360806.4,0.09827008697534446,58
TES_L0,73182,Ta-182,0.0,593.0,9886752.0,0.09515577512470544,593
TES_L2,73182,Ta-182,0.0,577.0,9886752.0,0.09258756191765756,577
ColdPlate_4K,29062,Cu-62,0.0,48.0,580.38,0.08867192469775285,48
CsI_Active_Shield_Side06,55130,Cs-130,0.0,47.0,1752.6000000000001,0.08683331762647006,47
ADR_SaltPill_Cu_Can,29064,Cu-64,0.0,47.0,45720.0,0.08683249800893161,47
TES_L4,73182,Ta-182,0.0,538.0,9886752.0,0.08633019733067711,538
CsI_Active_Shield_Side06,53123,I-123,0.0,46.0,47772.0,0.0849895042183462,46
Passive_Bottom_W_Shield,74180,W-180,0.0,46.0,1.59,0.0849866370265401,46
CsI_Active_Shield_Bottom03,55130,Cs-130,0.0,46.0,1752.6000000000001,0.08498581766342006,46
ActiveShield_Readout_Box_YP,13028,Al-28,0.0,46.0,134.484,0.08498499830030003,46
TES_L3,73182,Ta-182,0.0,525.0,9886752.0,0.08424415167027041,525
TES_L1,73182,Ta-182,0.0,516.0,9886752.0,0.08279996621306578,516
TES_L5,73182,Ta-182,0.0,509.0,9886752.0,0.08167593846322253,509
CsI_Active_Shield_Side00,53124,I-124,0.0,48.0,360806.4,0.08132948187810404,48
CsI_Active_Shield_Bottom01,55130,Cs-130,0.0,44.0,1752.6000000000001,0.08129245646356013,44
CsI_Active_Shield_Side05,55130,Cs-130,0.0,44.0,1752.6000000000001,0.08129163710044009,44
Outer_Al_Mech_Shell,10025,Ne-25,0.0,44.0,0.602,0.08089871113644304,44
CsI_Active_Shield_Bottom03,53124,I-124,0.0,47.0,360806.4,0.07971385530513034,47
CsI_Active_Shield_Side06,53124,I-124,0.0,47.0,360806.4,0.0796333174121027,47
ADR_Magnet_Yoke_Fe,25056,Mn-56,0.0,43.0,9284.039999999999,0.07941622941740842,43
CsI_Active_Shield_Side02,55130,Cs-130,0.0,42.0,1752.6000000000001,0.07759581781122006,42
