VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Side_Segment_04_side_port_band_00,52119,Te-119,0.0545318615,0.05453186150101895,1.0000000000186853,kept_rescaled,1.0,57780.0,nubase_ground,2191,16.05,h
Passive_W_Liner_detector_bay_side_port_band_00,74187,W-187,0.0545303992,0.05453034014667323,0.9999989170567677,kept_rescaled,1.0,85712.40000000001,nubase_ground,4206,23.809,h
W_Side_Aperture_Sleeve_collimator_ZP_panel,74187,W-187,0.0545303992,0.05453034014667323,0.9999989170567677,kept_rescaled,1.0,85712.40000000001,nubase_ground,4206,23.809,h
CsI_Bottom_Quadrant_00,55129,Cs-129,0.0545091515,0.05450915153977448,1.0000000007296845,kept_rescaled,1.0,115416.00000000001,nubase_ground,2537,32.06,h
CsI_Side_Segment_05,55134,Cs-134,0.05450555314,0.054499154628148486,0.9998826080741703,kept_rescaled,73.0,65166444.0,nubase_ground,2702,2.0650,y
ColdPlate_Still_0p7K,29061,Cu-61,0.0541926114,0.054192611379364534,0.9999999996192199,kept_rescaled,1.0,12034.8,nubase_ground,861,3.343,h
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,13025,Al-25,0.0541926114,0.054192611379364534,0.9999999996192199,kept_rescaled,1.0,7.1666,nubase_ground,241,7.1666,s
Passive_W_Bottom_Plate_detector_bay,74174,W-174,0.0541926114,0.054192611379364534,0.9999999996192199,kept_rescaled,1.0,1992.0000000000002,nubase_ground,3819,33.2,m
Window,9018,F-18,0.0541926114,0.054192611379364534,0.9999999996192199,kept_rescaled,1.0,6584.04,nubase_ground,155,109.734,m
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0.0541926114,0.054192611379364534,0.9999999996192199,kept_rescaled,1.0,4.117,nubase_ground,266,4.117,s
CsI_Bottom_Quadrant_00,53123,I-123,0.054192611,0.05419261103387466,1.0000000006250789,kept_rescaled,1.0,47603.520000000004,nubase_ground,2320,13.2232,h
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10025,Ne-25,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,0.602,nubase_ground,237,602,ms
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11025,Na-25,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,59.1,nubase_ground,238,59.1,s
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,10024,Ne-24,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,202.79999999999998,nubase_ground,222,3.38,m
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10024,Ne-24,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,202.79999999999998,nubase_ground,222,3.38,m
Plate_300K_Top_Service_Lid,10024,Ne-24,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,202.79999999999998,nubase_ground,222,3.38,m
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11026,Na-26,0.0537805003,0.05378050026621348,0.99999999937177,kept_rescaled,1.0,1.07128,nubase_ground,249,1071.28,ms
Plate_300K_Top_Service_Lid,14027,Si-27,0.0531657549,0.05316575487397058,0.99999999951041,kept_rescaled,1.0,4.117,nubase_ground,266,4.117,s
