production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
muminus,CsI_Side_Segment_04_above_side_port,51122,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_above_side_port,53128,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_above_side_port,55134,0,2,2,0,PASS
muminus,CsI_Side_Segment_04_below_side_port,53128,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_below_side_port,53129,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_below_side_port,55131,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_below_side_port,55132,0,2,2,0,PASS
muminus,CsI_Side_Segment_04_below_side_port,55134,0,1,1,0,PASS
muminus,CsI_Side_Segment_04_rectcut_window_band,53128,0,3,3,0,PASS
muminus,CsI_Side_Segment_04_rectcut_window_band,55134,0,1,1,0,PASS
muminus,CsI_Side_Segment_05,52127,0,1,1,0,PASS
muminus,CsI_Side_Segment_05,53126,0,1,1,0,PASS
muminus,CsI_Side_Segment_05,53128,0,2,2,0,PASS
muminus,CsI_Side_Segment_05,54133,0,1,1,0,PASS
muminus,CsI_Side_Segment_05,55131,0,1,1,0,PASS
muminus,CsI_Side_Segment_06,52127,0,1,1,0,PASS
muminus,CsI_Side_Segment_06,53126,0,1,1,0,PASS
muminus,CsI_Side_Segment_06,53128,0,2,2,0,PASS
muminus,CsI_Side_Segment_06,54133,0,2,2,0,PASS
muminus,CsI_Side_Segment_06,55132,0,4,4,0,PASS
muminus,CsI_Side_Segment_06,55134,0,1,1,0,PASS
muminus,CsI_Side_Segment_07,53125,0,1,1,0,PASS
muminus,CsI_Side_Segment_07,55132,0,2,2,0,PASS
muminus,CsI_Side_Segment_07,55134,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_00,52119,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_00,52123,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_01,51124,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_01,53124,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_01,55134,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_02,55132,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_02,55134,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_03,52127,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_03,55132,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_04,52119,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_04,53126,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_04,54125,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_04,54127,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_05,53126,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_05,53128,0,2,2,0,PASS
muminus,CsI_TopAnnulus_Segment_06,53128,0,2,2,0,PASS
muminus,CsI_TopAnnulus_Segment_06,55134,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_07,53128,0,1,1,0,PASS
muminus,CsI_TopAnnulus_Segment_07,55134,0,1,1,0,PASS
muminus,Cu_50mK_StillLike_Can_side_wall_above_side_port,28063,0,1,1,0,PASS
muminus,DR_Capillary_CuNi_Still_4K,27057,0,1,1,0,PASS
muminus,DR_Continuous_HEX_CuNi_CP_to_Still,26062,0,1,1,0,PASS
muminus,DR_Continuous_HEX_CuNi_CP_to_Still,27057,0,1,1,0,PASS
muminus,DR_Continuous_HEX_CuNi_CP_to_Still,27061,0,1,1,0,PASS
muminus,DR_MixingChamber_Cu,29062,0,1,1,0,PASS
muminus,DR_Still_Pot_Cu,29062,0,1,1,0,PASS
muminus,DR_Still_PumpLine_SS_to_300K_top,26059,0,1,1,0,PASS
muminus,G10_Support_Ring_4K_60K,13028,0,1,1,0,PASS
muminus,G10_Support_Ring_60K_Top,4010,0,1,1,0,PASS
muminus,G10_Support_Ring_60K_Top,11025,0,1,1,0,PASS
muminus,NbTi_Bundle_4K_60K,40088,0,1,1,0,PASS
muminus,NbTi_Bundle_4K_60K,41092,0,1,1,0,PASS
muminus,NbTi_Bundle_bay_to_MXC,41091,0,1,1,0,PASS
muminus,Nb_MagShield_Inner_Cylinder_2mm,40089,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,8019,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,9021,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10023,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10024,0,7,7,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10025,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11022,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11024,0,36,36,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11025,0,44,44,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11026,0,6,6,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12023,0,1,1,0,PASS
