production_tag,ZA,nuclide,exc_keV_decimal,state_id,is_ground_state,would_fold_to_ground_if_exc_ignored,activity_day15_direct_Bq
n,5012,B-12,0,gs,True,False,0.0006787801777182261301859654053
n,6011,C-11,0,gs,True,False,0.004751461244027582911301757838
n,6014,C-14,0,gs,True,False,0.0000001355937581541382172924680515
n,7013,N-13,0,gs,True,False,0.0006787801777182261301859654053
n,7016,N-16,0,gs,True,False,0.0006787801777182261301859654053
n,8015,O-15,0,gs,True,False,0.002715120710872904520743861621
n,9017,F-17,0,gs,True,False,0.001357560355436452260371930811
n,9018,F-18,0,gs,True,False,0.01764828462067387938483510054
n,9020,F-20,0,gs,True,False,0.004751461244027582911301757838
n,9023,F-23,0,gs,True,False,0.0006787801777182261301859654053
n,10019,Ne-19,0,gs,True,False,0.0006787801777182261301859654053
n,10023,Ne-23,0,gs,True,False,0.004072681066309356781115792432
n,10024,Ne-24,0,gs,True,False,0.001357560355436452260371930811
n,11021,Na-21,0,gs,True,False,0.0006787801777182261301859654053
n,11022,Na-22,0,gs,True,False,0.0006573270821551949931816531146
n,11024,Na-24,0,gs,True,False,0.2111006232887691972949252359
n,11025,Na-25,0,gs,True,False,0.01425438373208274873390527352
n,11026,Na-26,0,gs,True,False,0.003393900888591130650929827026
n,12023,Mg-23,0,gs,True,False,0.004072681066309356781115792432
n,12027,Mg-27,0,gs,True,False,0.2260337991801693013519264798
n,13025,Al-25,0,gs,True,False,0.008824142310336939692417550269
n,13026,Al-26,0,gs,True,False,0.00000001665424529532519751485001333
n,13028,Al-28,0,gs,True,False,6.882831002062812960085689209
n,14026,Si-26,0,gs,True,False,0.0006787801777182261301859654053
n,14027,Si-27,0,gs,True,False,0.0006787801777182261301859654053
n,19040,K-40,0,gs,True,False,0.00000000000001548250749293146560179632386
n,21047,Sc-47,0,gs,True,False,0.001945006435897112061855880035
n,22045,Ti-45,0,gs,True,False,0.001357560355436452260371930811
n,22051,Ti-51,0,gs,True,False,0.001357560355436452260371930811
n,23048,V-48,0,gs,True,False,0.0003247458815677212195507697028
n,23049,V-49,0,gs,True,False,0.00002105272431732538210233154203
n,23050,V-50,0,gs,True,False,0
n,24051,Cr-51,0,gs,True,False,0.002124158270856995270938501836
n,25050,Mn-50,0,gs,True,False,0.0006787801777182261301859654053
n,25051,Mn-51,0,gs,True,False,0.0006787801777182261301859654053
n,25052,Mn-52,0,gs,True,False,0.004011517212239109141743555492
n,25053,Mn-53,0,gs,True,False,0.00000000002088882023558855060747432004
n,25054,Mn-54,0,gs,True,False,0.00008896602745933669872545446028
n,25056,Mn-56,0,gs,True,False,0.009502922488055165822603515674
n,25057,Mn-57,0,gs,True,False,0.0006787801777182261301859654053
n,26053,Fe-53,0,gs,True,False,0.0006787801777182261301859654053
n,26055,Fe-55,0,gs,True,False,0.0001534358469885406063271815486
n,26059,Fe-59,0,gs,True,False,0.000141428800672924626212725635
n,26060,Fe-60,0,gs,True,False,0.000000000007374869695943743377650891137
n,26063,Fe-63,0,gs,True,False,0.0006787801777182261301859654053
n,27055,Co-55,0,gs,True,False,0.0006787797313329666562813299476
n,27056,Co-56,0,gs,True,False,0.000427457026894425925058595699
n,27057,Co-57,0,gs,True,False,0.0005094822809645747340369568659
n,27058,Co-58,0,gs,True,False,0.00352084674235823727575648354
n,27060,Co-60,0,gs,True,False,0.00006580063638829870875646792665
n,27061,Co-61,0,gs,True,False,0.004751461244027582911301757836
n,27062,Co-62,0,gs,True,False,0.0006787801777182261301859654053
n,28057,Ni-57,0,gs,True,False,0.002712667891368920148978673405
n,28059,Ni-59,0,gs,True,False,0.000000066315545662207121354356513
n,28063,Ni-63,0,gs,True,False,0.0000217630072530272239587681769
n,28065,Ni-65,0,gs,True,False,0.004072681066309356781115792431
n,29060,Cu-60,0,gs,True,False,0.002715120710872904520743861621
n,29061,Cu-61,0,gs,True,False,0.01493316390980097486409123893
n,29062,Cu-62,0,gs,True,False,0.1079260482571979546995684994
n,29064,Cu-64,0,gs,True,False,4.695801255687516606153413832
n,29066,Cu-66,0,gs,True,False,1.137635577855746994191678018
n,30063,Zn-63,0,gs,True,False,0.0006787801777182261301859654053
n,30065,Zn-65,0,gs,True,False,0.00002832307989066614807861088994
n,37080,Rb-80,0,gs,True,False,0.0006787801777182261301859654053
n,38083,Sr-83,0,gs,True,False,0.0006784725797645910926392398748
n,38085,Sr-85,0,gs,True,False,0.0002011134224760525267252725473
n,39087,Y-87,0,gs,True,False,0.001298031286332135557831731752
n,39090,Y-90,0,gs,True,False,0.0046548883338965376101914771
n,40088,Zr-88,0,gs,True,False,0.000159118243292129095844439874
n,40089,Zr-89,0,gs,True,False,0.0006506778073163594846972402834
