production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,state_class,dat_production_count_raw,rpip_count,coverage_fraction,activity_day15_direct_Bq,source_files_count,rpip_volume_count,rpip_volume_examples,centroid_x_cm,centroid_y_cm,centroid_z_cm,effective_sample_size,dominant_cproc,dominant_sproc,dominant_prim,status
p,CsI_Side_Segment_01,CsI_Side_Segment_01,52127,Te-127,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803426329999640371001,1,1,CsI_Side_Segment_01,-5.87935,17.04211,-8.521865,1,neutronInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53121,I-121,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-5.048319,14.14167,-14.43871,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53122,I-122,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090560688750601360754705,2,1,CsI_Side_Segment_01,1.39350487,14.40501,-7.6689605,2,protonInelastic:2,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53123,I-123,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090552036998359956057407,2,1,CsI_Side_Segment_01,1.0846886,14.009995,-9.9898805,2,protonInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53124,I-124,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006222732053036714728028873459,1,1,CsI_Side_Segment_01,-4.047448,14.71874,-12.52311,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53125,I-125,0,gs,EMITTED_CANDIDATE,2,2,1,0.0002179405603426680264714084768,2,1,CsI_Side_Segment_01,-0.980611,14.761435,-6.3418563,2,neutronInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,53126,I-126,0,gs,EMITTED_CANDIDATE,5,5,1,0.001874536474643683320203482159,5,1,CsI_Side_Segment_01,-0.397267544,15.807582,-8.1938822,5,neutronInelastic:3,RadioactiveDecay:5,proton:5,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,54123,Xe-123,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090560688750601360754705,2,1,CsI_Side_Segment_01,0.877696,16.56312,-5.335885,2,protonInelastic:2,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,54125,Xe-125,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090049322316065034493849,2,1,CsI_Side_Segment_01,0.47679245,15.66062,-4.0497495,2,protonInelastic:2,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,54127,Xe-127,0,gs,EMITTED_CANDIDATE,1,1,1,0.000168827207040967266297130907,1,1,CsI_Side_Segment_01,4.122319,13.60381,-7.123506,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55126,Cs-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-8.501027,17.23634,-9.647234,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55129,Cs-129,0,gs,EMITTED_CANDIDATE,2,2,1,0.001356525156077262558346412293,2,1,CsI_Side_Segment_01,-1.5866905,15.49755,-4.546762,2,protonInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55130,Cs-130,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-5.570933,17.7042,-9.954446,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55131,Cs-131,0,gs,EMITTED_CANDIDATE,3,3,1,0.001339552422327433042848098818,2,1,CsI_Side_Segment_01,-1.54092773,14.65773,-10.6984513,3,neutronInelastic:2,RadioactiveDecay:3,proton:3,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55132,Cs-132,0,gs,EMITTED_CANDIDATE,2,2,1,0.001084330903410989312233289296,2,1,CsI_Side_Segment_01,-3.1026795,14.53469,-7.317715,2,protonInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,55134,Cs-134,0,gs,EMITTED_CANDIDATE,1,1,1,0.000009289564185104075953644500628,1,1,CsI_Side_Segment_01,-0.2982107,13.16136,-14.74775,1,nCapture:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,56124,Ba-124,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-1.016126,14.94715,-8.713453,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,56129,Ba-129,0,gs,EMITTED_CANDIDATE,4,4,1,0.00271418112137750120272150941,2,1,CsI_Side_Segment_01,0.3646838,15.3524825,-4.6844125,4,protonInelastic:4,RadioactiveDecay:4,proton:4,PASS
