source_family,local_id,source_file,tes_energy_keV,init_energy_keV,theta_local_deg,phi_local_deg,theta_from_global_plus_z_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_recorded_volume,first_recorded_material,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,side_compton_class
eplus,136894,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99892000000006,0.449,106.1893750823825,358.55901530757876,151.16385345476877,envelope_miss,miss_current_outer_envelope,phi05_225deg,,left_upper,TP_L2_00019,tes,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,keep
eplus,183364,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99894,20.113,119.36006821288724,185.8954449521219,74.5539146132626,top,top,top_phi02_090deg,79.49222116766131,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,61.40093,14.19736,-10.94499,-0.95971,-0.08952,0.26633,single
eplus,231882,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99898200000007,31.35,99.35614987354694,237.7002713390542,75.05688553069274,envelope_miss,miss_current_outer_envelope,phi01_045deg,,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,46.68125,43.96283,-6.19237,-0.48777,-0.83402,0.25786,single
eplus,235828,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99887,129.566,37.13699180844649,5.773307051715723,82.0117295471044,side_wall,side,side_phi03_135deg,114.98103958413681,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-55.48752,23.28927,-10.84068,0.98843,0.06073,0.13897,single
eplus,2392,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.998897,80.217,49.96579158746626,321.11334975782927,88.08482767787045,side_window,side,side_neg_x_window_axis_pm15deg,179.71468135254543,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-55.4356,16.1038,12.0147,0.87627,-0.48067,0.03342,single
eplus,10024,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.99892,95895.346,69.89862233136525,295.54742956905403,92.48455131398835,side_wall,side,side_phi03_135deg,118.71001560122033,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-32.16132,48.00657,2.70299,0.52939,-0.84727,-0.04335,veto
eplus,64214,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.999,41.207,86.94094431592063,237.5137238451018,65.35598905905005,envelope_miss,miss_current_outer_envelope,phi02_090deg,,right_upper,TP_L3_00081,tes,14.47161,77.62503,25.57908,-0.34151,-0.84232,0.41698,single
eplus,235494,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.99889999999994,78.458,36.76381028320487,31.755814952485082,78.07623658846468,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,TP_L2_00163,tes,-63.69264,8.4259,6.93738,0.92633,0.315,0.20661,single
eplus,238305,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.999,59.098,74.50850401322965,161.4471470642834,33.39772719156889,envelope_miss,miss_current_outer_envelope,phi00_000deg,,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,43.8147,-11.74901,-41.52982,-0.45714,0.30662,0.83487,single
eplus,30107,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,380.524,87.87089204665693,46.566378120144996,117.35743020348542,side_wall,side,side_phi05_225deg,238.12799966384372,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-39.14891,-46.76609,12.5776,0.51208,0.72567,-0.45954,single
eplus,31391,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893099999997,201479.525,104.46308287841265,257.283170843158,91.48297419553106,side_wall,side,side_phi02_090deg,74.75224236857808,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,15.71057,59.89891,-5.19193,-0.32733,-0.94456,-0.02588,single
eplus,31997,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893299999997,629.605,152.0576771927726,98.11726932510435,125.30208394154201,top,top,top_phi00_000deg,8.379413202828507,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,57.45726,-24.69386,26.95075,-0.67146,0.46389,-0.57789,single
eplus,40978,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99888,183.893,73.80511162463058,326.70530667681163,111.73854483442166,side_window,side,side_neg_x_window_axis_pm15deg,188.33728821360995,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-50.46629,15.57909,30.83227,0.7648,-0.52716,-0.37037,keep
