VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,29066,Cu-66,0.0,0.125,307.2,0.0006784076415836748,1
Cu_SubstrateSupport_OpenRing_L5_YM_panel,29066,Cu-66,0.0,0.125,307.2,0.0006784076415836748,1
DR_4K_Condenser_Cu,29060,Cu-60,0.0,0.125,1422.0,0.0006784076415836748,1
Nb_SideEntry_Sample_Can_with_side_aperture_ZM_panel,41089,Nb-89,0.0,0.125,7307.999999999999,0.0006784076415836748,1
Passive_W_Bottom_Plate_detector_bay,74177,W-177,0.0,0.125,7920.0,0.0006784076415836748,1
Passive_W_Liner_detector_bay_above_side_port,73170,Ta-170,0.0,0.125,405.59999999999997,0.0006784076415836748,1
Passive_W_Liner_detector_bay_side_port_band_00,74179,W-179,0.0,0.125,2223.0,0.0006784076415836748,1
Passive_W_Liner_detector_bay_side_port_band_01,71165,Lu-165,0.0,0.125,644.4,0.0006784076415836748,1
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,8019,O-19,0.0,0.125,26.464,0.0006784076415836748,1
W_Side_Aperture_Sleeve_collimator_YP_panel,74179,W-179,0.0,0.125,2223.0,0.0006784076415836748,1
ColdPlate_4K,28065,Ni-65,0.0,0.125,9061.884,0.0006784076415836748,1
ColdPlate_CP_100mK_intercept,27061,Co-61,0.0,0.125,5940.0,0.0006784076415836748,1
ColdPlate_MXC_50mK_SD_anchor,27061,Co-61,0.0,0.125,5940.0,0.0006784076415836748,1
Cryoperm_Horizontal_Sleeve_1p2mm_YP_panel,25056,Mn-56,0.0,0.125,9284.039999999999,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,53119,I-119,0.0,0.125,1146.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,55125,Cs-125,0.0,0.125,2700.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_03,51115,Sb-115,0.0,0.125,1926.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_03,52117,Te-117,0.0,0.125,3720.0,0.0006784076415836748,1
CsI_Side_Segment_02,55124,Cs-124,0.0,0.125,30.8,0.0006784076415836748,1
CsI_Side_Segment_03_below_side_port,51113,Sb-113,0.0,0.125,400.2,0.0006784076415836748,1
CsI_Side_Segment_03_below_side_port,51116,Sb-116,0.0,0.125,948.0,0.0006784076415836748,1
CsI_Side_Segment_06,55124,Cs-124,0.0,0.125,30.8,0.0006784076415836748,1
CsI_TopAnnulus_Segment_01,51118,Sb-118,0.0,0.125,216.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_05,55127,Cs-127,0.0,0.125,22500.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_06,53122,I-122,0.0,0.125,217.79999999999998,0.0006784076415836748,1
CsI_TopAnnulus_Segment_07,52131,Te-131,0.0,0.125,1500.0,0.0006784076415836748,1
Cu_SubstrateSupport_OpenRing_L5_YP_panel,29066,Cu-66,0.0,0.125,307.2,0.0006784076415836748,1
Cu_SubstrateSupport_OpenRing_L5_ZM_panel,29066,Cu-66,0.0,0.125,307.2,0.0006784076415836748,1
DR_MixingChamber_Cu,29060,Cu-60,0.0,0.125,1422.0,0.0006784076415836748,1
NbTi_Bundle_bay_to_MXC,41089,Nb-89,0.0,0.125,7307.999999999999,0.0006784076415836748,1
Passive_Cu_Liner_detector_bay_side_port_band_01,28065,Ni-65,0.0,0.125,9061.884,0.0006784076415836748,1
