VN,ZA,nuclide,action,nubase_line,csv_raw_value,csv_raw_unit,line_raw_value,line_raw_unit,reported_half_life_s,line_expected_half_life_s,line_rel_error,status
CsI_Side_Segment_05,55130,Cs-130,kept_rescaled,2576,29.21,m,29.21,m,1752.6000000000001,1752.6000000000001,0.0,PASS
TES_L1,73182,Ta-182,kept_rescaled,4069,114.74,d,114.74,d,9913536.0,9913536.0,0.0,PASS
CsI_Side_Segment_03_above_side_port,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
CsI_TopAnnulus_Segment_04,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
CsI_Side_Segment_06,55131,Cs-131,kept_rescaled,2611,9.689,d,9.689,d,837129.6,837129.6,0.0,PASS
Nb_MagShield_Inner_Cylinder_2mm,41092,Nb-92,kept_rescaled,1509,34.7,My,34.7,My,1095048720000000.1,1095048720000000.1,0.0,PASS
DR_Continuous_HEX_CuNi_MXC_to_CP,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
CsI_Bottom_Quadrant_01,53123,I-123,kept_rescaled,2320,13.2232,h,13.2232,h,47603.520000000004,47603.520000000004,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10024,Ne-24,kept_rescaled,222,3.38,m,3.38,m,202.79999999999998,202.79999999999998,0.0,PASS
CsI_Side_Segment_04_below_side_port,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_Bottom_Quadrant_00,53124,I-124,kept_rescaled,2352,4.1760,d,4.1760,d,360806.4,360806.4,0.0,PASS
CsI_Side_Segment_01,53124,I-124,kept_rescaled,2352,4.1760,d,4.1760,d,360806.4,360806.4,0.0,PASS
CsI_Side_Segment_01,55131,Cs-131,kept_rescaled,2611,9.689,d,9.689,d,837129.6,837129.6,0.0,PASS
CsI_Side_Segment_03_below_side_port,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_Side_Segment_07,55131,Cs-131,kept_rescaled,2611,9.689,d,9.689,d,837129.6,837129.6,0.0,PASS
CsI_Side_Segment_04_above_side_port,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_TopAnnulus_Segment_05,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_Side_Segment_03_above_side_port,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_TopAnnulus_Segment_03,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
Window,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
CsI_Bottom_Quadrant_03,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Bottom_Quadrant_01,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Bottom_Quadrant_02,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Bottom_Quadrant_00,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_06,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_07,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_00,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_05,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_02,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
Passive_W_Bottom_Plate_detector_bay,74181,W-181,kept_rescaled,4039,120.956,d,120.956,d,10450598.4,10450598.4,0.0,PASS
CsI_Side_Segment_01,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
CsI_Side_Segment_03_below_side_port,53125,I-125,kept_rescaled,2388,59.392,d,59.392,d,5131468.8,5131468.8,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
Window,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
Plate_300K_Top_Service_Lid,11022,Na-22,kept_rescaled,199,2.6019,y,2.6019,y,82109719.44,82109719.44,0.0,PASS
ColdPlate_4K,28063,Ni-63,kept_rescaled,895,101.2,y,101.2,y,3193629120.0,3193629120.0,0.0,PASS
ColdPlate_Still_0p7K,28063,Ni-63,kept_rescaled,895,101.2,y,101.2,y,3193629120.0,3193629120.0,0.0,PASS
