production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,activity_day15_direct_Bq,half_life_s,half_life_bin,near_focal_plane_heuristic,beta_plus_relevant_heuristic,line_or_cascade_risk_status
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0,gs,0.0006787041637143035545094462046,4.117,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,15030,P-30,0,gs,0.003393520818571517772547231023,150,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,9020,F-20,0,gs,0.0006787041637143035545094462046,11.0062,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
eplus,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53125,I-125,0,gs,0.0001089638476606374420895789739,5131468.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
eplus,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53126,I-126,0,gs,0.000374885164168119549906773382,1117152,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
eplus,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55132,Cs-132,0,gs,0.0005421334477034683830134859699,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
eplus,CsI_Side_Segment_03_below_side_port,CsI_Side_Segment_03_below_side_port,55132,Cs-132,0,gs,0.0005421334477034683830134859699,559872,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,27062,Co-62,0,gs,0.0006753252366339629165406059558,92.4,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,27064,Co-64,0,gs,0.0006753252366339629165406059558,0.3,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,28063,Ni-63,0,gs,0.0000003798637745589077694817824265,3193629120,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,28065,Ni-65,0,gs,0.0006753252366339629165406059558,9063,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,29062,Cu-62,0,gs,0.001350650473267925833081211912,580.32,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,0.0006753252346540412812810649609,45721.44,gt_5us,True,True,BETA_PLUS_HEURISTIC
muminus,ColdPlate_60K,ColdPlate_60K,10023,Ne-23,0,gs,0.0006753252366339629165406059558,37.15,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_60K,ColdPlate_60K,10024,Ne-24,0,gs,0.0006753252366339629165406059558,202.8,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_60K,ColdPlate_60K,11026,Na-26,0,gs,0.0006753252366339629165406059558,1.07128,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
muminus,ColdPlate_60K,ColdPlate_60K,12027,Mg-27,0,gs,0.004051951419803777499243635735,566.1,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
