event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25189,2,1,511,-5.346479848,-0.3431780907,10000,0.006815344321,0.002698503676,0.9999731342,laue_bfull_diffracted,BFullLaueBraggProcess
25195,1,0,511,22.87643631,-74.58671924,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25196,2,1,511,0.2694079479,-4.037243886,10000,-0.004018227905,0.006331323797,0.9999718837,laue_bfull_diffracted,BFullLaueBraggProcess
25198,1,0,511,62.22023681,-34.78962247,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25199,1,0,511,72.38033748,-23.79360244,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25201,2,1,511,9.736995108,8.152043328,10000,-0.007067175863,-0.001814586062,0.9999733808,laue_bfull_diffracted,BFullLaueBraggProcess
25203,2,1,511,-2.371794673,7.155535809,10000,-0.005380255862,-0.005052339868,0.999972763,laue_bfull_diffracted,BFullLaueBraggProcess
25205,2,1,511,-8.443683697,7.310774266,10000,-0.004021770945,-0.006339241921,0.9999718193,laue_bfull_diffracted,BFullLaueBraggProcess
25206,1,0,511,7.331253231,79.94866001,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25207,1,0,511,-9.740201393,68.79705289,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25208,1,0,511,-34.81313669,65.37681096,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25209,2,1,511,-3.907896726,0.631122668,10000,0.004749011158,-0.005740253351,0.9999722478,laue_bfull_diffracted,BFullLaueBraggProcess
25210,1,0,511,-55.88110114,46.33550655,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25211,1,0,511,-60.14586932,30.82202899,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25213,1,0,511,-70.09758861,-17.97709045,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25214,1,0,511,-71.58693177,-34.74372397,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25216,1,0,511,-46.34896875,-65.10045455,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25219,1,0,511,7.141800129,-80.80810298,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25221,2,1,511,-5.199534565,-7.71624403,10000,-0.003997428955,0.006298313036,0.9999721755,laue_bfull_diffracted,BFullLaueBraggProcess
25224,1,0,511,78.63817724,-26.52146056,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25225,2,1,511,-4.120483506,-6.365201686,10000,-0.007833328229,2.385597359e-07,0.999969319,laue_bfull_diffracted,BFullLaueBraggProcess
25227,1,0,511,59.93610234,37.23291458,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
