tag,VN,ZA,exc_keV,nuclide,reason,detail
p,W_Side_Aperture_Sleeve_collimator_ZM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,ActiveShield_Al_Backplane_detector_bay_above_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_above_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
p,W_Side_Aperture_Sleeve_collimator_YM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,W_Side_Aperture_Sleeve_collimator_ZP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,ColdPlate_60K,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_side_port_band_01,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,Plate_300K_Top_Service_Lid,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Window,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
p,ActiveShield_Al_Backplane_detector_bay_above_side_port,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_above_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_above_side_port,75176,0.0,Re-176,SKIPPED/UNKNOWN,None
