production_tag,source_file,source_files_count,source_files,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_raw_token,exc_keV_decimal,state_id,nubase_line,production_count_raw,TT_file_s,TT_tag_sum_s,production_rate_s-1,half_life_s,half_life_authority,activity_day15_direct_Bq,state_class,source_row_count
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53126,I-126,0.00,0,gs,2424,1,183.734,1473.396,0.0006787041637143035545094462046,1117152,NUBASE2020_STATE,0.0003749950805727525390322764552,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,55132,Cs-132,0.00,0,gs,2640,1,183.734,1473.396,0.0006787041637143035545094462046,559872,NUBASE2020_STATE,0.0005422924013380702811735609436,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,51118,Sb-118,0.00,0,gs,2158,1,184.367,1473.396,0.0006787041637143035545094462046,216,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,52114,Te-114,0.00,0,gs,2052,1,184.367,1473.396,0.0006787041637143035545094462046,912,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,53126,I-126,0.00,0,gs,2424,1,184.367,1473.396,0.0006787041637143035545094462046,1117152,NUBASE2020_STATE,0.0003749950805727525390322764552,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55131,Cs-131,0.00,0,gs,2611,1,184.367,1473.396,0.0006787041637143035545094462046,837129.6,NUBASE2020_STATE,0.0004466220274868972767674135128,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55132,Cs-132,0.00,0,gs,2640,1,183.734,1473.396,0.0006787041637143035545094462046,559872,NUBASE2020_STATE,0.0005422924013380702811735609436,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Side_Segment_00,CsI_Side_Segment_00,53126,I-126,0.00,0,gs,2424,1,184.367,1473.396,0.0006787041637143035545094462046,1117152,NUBASE2020_STATE,0.0003749950805727525390322764552,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Side_Segment_01,CsI_Side_Segment_01,48107,Cd-107,0.00,0,gs,1890,1,184.367,1473.396,0.0006787041637143035545094462046,23400,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,MULTIPLE:2,2,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat;runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,CsI_Side_Segment_01,CsI_Side_Segment_01,52127,Te-127,0.00,0,gs,2458,2,,1473.396,0.001357408327428607109018892409,33660,NUBASE2020_STATE,0.001357408327425121691656553975,EMITTED_CANDIDATE,2
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,CsI_Side_Segment_01,CsI_Side_Segment_01,54123,Xe-123,0.00,0,gs,2321,1,184.046,1473.396,0.0006787041637143035545094462046,7488,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_Side_Segment_01,CsI_Side_Segment_01,55132,Cs-132,0.00,0,gs,2640,1,185.196,1473.396,0.0006787041637143035545094462046,559872,NUBASE2020_STATE,0.0005422924013380702811735609436,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,CsI_Side_Segment_01,CsI_Side_Segment_01,55134,Cs-134,0.00,0,gs,2702,1,184.046,1473.396,0.0006787041637143035545094462046,65166444,NUBASE2020_STATE,0.00000929173936383665083928556885,EMITTED_CANDIDATE,1
