local_id,status,init_energy_keV,depth_projection_cm,depth_distance_cm,entry_class,entry_surface_proxy,entry_region_proxy,theta_local_deg,phi_local_deg,first_hit_category,first_hit_volume,plotted
79531,active veto reject,117.053,-0.15001090560797303,4.317697371763851,side_wall,side,side_phi00_000deg,122.19194535624105,227.41267496329,csi_active,CsI_Side_Segment_07,False
118972,missing coordinate,0.555,,,envelope_miss,miss_current_outer_envelope,phi04_180deg,73.25124663603061,8.459563009049056,other,DR_MXC_Sinter_HEX_AgProxy,False
158363,active veto reject,23.704,15.515837332026258,26.753668478865798,top,top,top_phi00_000deg,93.18605360377003,197.65821427932235,outer_mechanics,MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm,True
164833,active veto reject,0.056,15.69667501341383,15.696675013916224,bottom,bottom,bottom_phi03_135deg,34.73151750169648,265.04447500134813,window_or_side_port,Still_Shield_Al_side_window_bottom_cap,True
180531,active veto reject,0.0,0.8499888914248769,0.9672165488513387,side_wall,side,side_phi03_135deg,70.98890478369107,342.7573450288039,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
251935,final pass,27.819,1.591896033593167,1.76741369289921,bottom,bottom,bottom_phi06_270deg,27.44572460175091,272.2262118619291,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
399655,active veto reject,1.168,-9.636198222001366e-05,0.00018314614100773007,side_wall,side,side_phi00_000deg,85.47877604619771,210.9386907481106,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_BottomCap_5mm,False
634987,missing coordinate,1.031,,,envelope_miss,miss_current_outer_envelope,phi07_315deg,88.26330086952977,122.24706565185517,other,NbTi_Bundle_Still_4K,False
107826,active veto reject,26.445,2.175739549806713,15.151079482596314,side_wall,side,side_phi05_225deg,79.44027242584282,104.61219869718907,csi_active,CsI_Bottom_Quadrant_02,True
243793,active veto reject,12.063,9.232357593175486,9.232357595884702,top,top,top_phi03_135deg,131.82374384621053,187.39931446115122,csi_active,CsI_Side_Segment_03_above_side_port,True
252059,active veto reject,27.357,3.776620553894105,14.711792270122245,bottom,bottom,bottom_phi02_090deg,24.354358592059025,31.856241452223262,other,Passive_W_Bottom_Plate_detector_bay,True
329030,final pass,0.525,20.597123850309792,20.59712385130812,top,top,top_phi03_135deg,108.81865361611032,237.51574796442316,window_or_side_port,Shield_60K_Al_side_window_side_wall_above_side_port,True
361381,final pass,15.082,9.881001128443334,15.180416851416204,bottom,bottom,bottom_phi07_315deg,43.17502546396819,127.05009431383442,csi_active,CsI_Side_Segment_06,True
602847,active veto reject,0.015,4.208950823780141,6.857710670733269,side_wall,side,side_phi02_090deg,78.06961578343555,275.54458723840514,passive_shield_or_collimator,ActiveShield_Flex_Kapton_detector_bay_below_side_port,True
668801,active veto reject,0.021,13.488603850472414,17.28855593878475,side_wall,side,side_phi07_315deg,115.23156689627821,125.55181952402098,csi_active,CsI_Bottom_Quadrant_03,True
928441,missing coordinate,0.0,,,envelope_miss,miss_current_outer_envelope,phi03_135deg,89.21278314619052,319.6134149452179,outer_mechanics,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,False
137864,active veto reject,51.949,5.039722288166296,5.434349186110234,side_wall,side,side_phi05_225deg,48.17061110956641,69.79929905924571,csi_active,CsI_Side_Segment_05,True
357387,final pass,0.001,9.097844993043287,9.097844993461292,top,top,top_phi02_090deg,105.29566988971007,187.76533244593165,other,ColdPlate_CP_100mK_intercept,True
370386,active veto reject,4.173,5.968591174004377,6.879908998574395,top,top,top_phi05_225deg,113.77425789452232,164.75723790232018,csi_active,CsI_TopAnnulus_Segment_04,True
585146,active veto reject,0.0,-4.669764330863082e-06,6.27121995132611e-05,side_wall,side,side_phi07_315deg,54.27229738993553,121.66801828807532,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,False
745296,active veto reject,1.076,7.727327696540695,8.001528575206185,side_wall,side,side_phi01_045deg,81.4014238897099,230.15498274505666,csi_active,CsI_Side_Segment_00,True
748880,active veto reject,6.622,40.711426063553894,40.82397686616828,side_wall,side,side_phi00_000deg,76.95455294467665,188.61574886296893,other,ColdPlate_MXC_50mK_SD_anchor,True
821539,final pass,0.547,12.365415633860794,13.65250455202723,top,top,top_phi06_270deg,115.289835021981,158.2891200000182,other,ColdPlate_CP_100mK_intercept,True
887540,active veto reject,10.936,4.9601281977974985,10.325901765967167,side_wall,side,side_phi03_135deg,75.16043157087718,274.99385165706485,csi_active,CsI_Bottom_Quadrant_01,True
