case,M,seed,ZA,nuclide,activity_Bq,activity_fraction,expected_draws,miss_probability_if_multinomial,dominant_incident_family,dominant_incident_family_activity_Bq,dominant_category,dominant_category_activity_Bq
M5000_seed260613,5000,260613,48101,Cd-101,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
M5000_seed260613,5000,260613,66157,Dy-157,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,W/collimator,0.000678407642
M5000_seed260613,5000,260613,69161,Tm-161,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,W/collimator,0.000678407642
M5000_seed260613,5000,260613,71165,Lu-165,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,W/collimator,0.000678407642
M5000_seed260613,5000,260613,49118,In-118,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
M5000_seed260613,5000,260613,52129,Te-129,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
M5000_seed260613,5000,260613,39085,Y-85,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,other,0.000678407642
M5000_seed260613,5000,260613,46098,Pd-98,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
M5000_seed260613,5000,260613,25051,Mn-51,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,Al shells,0.000678407642
M5000_seed260613,5000,260613,41090,Nb-90,0.000678407616,7.921926566004672e-06,0.039609632830023354,0.9611645730218382,n,0.000678407616,other,0.000678407616
M5000_seed260613,5000,260613,21048,Sc-48,0.000676169404,7.895790433854954e-06,0.039478952169274766,0.9612901868507993,n,0.000676169404,other,0.000676169404
M5000_seed260613,5000,260613,71170,Lu-170,0.000674541913,7.876785835609356e-06,0.039383929178046784,0.9613815358598512,n,0.000674541913,W/collimator,0.000674541913
M5000_seed260613,5000,260613,40089,Zr-89,0.000650917721,7.6009205449030755e-06,0.03800460272451538,0.9627085097989427,p,0.000650917721,other,0.000650917721
M5000_seed260613,5000,260613,46100,Pd-100,0.00064030793,7.477027500072255e-06,0.03738513750036128,0.9633050589934241,p,0.00064030793,other,0.00064030793
M5000_seed260613,5000,260613,51127,Sb-127,0.000632841045,7.389834913710134e-06,0.036949174568550666,0.963725115849127,n,0.000632841045,CsI active shield,0.000632841045
M5000_seed260613,5000,260613,28056,Ni-56,0.000555887697,6.491232425343902e-06,0.03245616212671951,0.968064886806961,n,0.000555887697,Cu/support,0.000555887697
M5000_seed260613,5000,260613,71172,Lu-172,0.000536063968,6.259746042086116e-06,0.03129873021043057,0.9691860046876398,alpha,0.000536063968,W/collimator,0.000536063968
