source_name,flux_Bq
S_CsI_Side_Segment_03_above_side_port_53128_z003,0.109063742
S_CsI_Side_Segment_03_above_side_port_53128_z004,0.109063742
S_CsI_Side_Segment_03_above_side_port_53128_z005,0.163595613
S_CsI_Side_Segment_03_above_side_port_53128_z006,0.0545318713
S_CsI_Side_Segment_03_above_side_port_53128_z007,0.109063742
S_CsI_Side_Segment_03_above_side_port_53128_z008,0.0545318713
S_CsI_Side_Segment_03_above_side_port_53128_z009,0.0545318713
S_CsI_TopAnnulus_Segment_03_53128_z000,0.0545318713
S_CsI_TopAnnulus_Segment_03_53128_z003,0.0545318713
S_CsI_TopAnnulus_Segment_03_53128_z004,0.109063742
S_CsI_TopAnnulus_Segment_03_53128_z005,0.163595613
S_CsI_TopAnnulus_Segment_03_53128_z006,0.109063742
S_CsI_TopAnnulus_Segment_03_53128_z007,0.163595613
S_CsI_TopAnnulus_Segment_03_53128_z008,0.109063742
S_CsI_TopAnnulus_Segment_03_53128_z009,0.0545318713
S_CsI_TopAnnulus_Segment_05_53128_z000,0.0545318712
S_CsI_TopAnnulus_Segment_05_53128_z001,0.109063742
S_CsI_TopAnnulus_Segment_05_53128_z003,0.163595613
S_CsI_TopAnnulus_Segment_05_53128_z005,0.0545318712
S_CsI_TopAnnulus_Segment_05_53128_z006,0.0545318712
S_CsI_TopAnnulus_Segment_05_53128_z007,0.218127485
S_CsI_TopAnnulus_Segment_05_53128_z008,0.109063742
S_CsI_TopAnnulus_Segment_05_53128_z009,0.0545318712
S_ColdPlate_Still_0p7K_29064_z000,0.054531871
S_ColdPlate_Still_0p7K_29064_z001,0.109063742
S_ColdPlate_Still_0p7K_29064_z002,0.109063742
S_ColdPlate_Still_0p7K_29064_z003,0.054531871
S_ColdPlate_Still_0p7K_29064_z004,0.163595613
S_ColdPlate_Still_0p7K_29064_z005,0.109063742
S_ColdPlate_Still_0p7K_29064_z007,0.109063742
S_ColdPlate_Still_0p7K_29064_z008,0.054531871
