particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
alpha,13,110.487315,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin13_theta110.49_pdf.dat
alpha,14,116.743684,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin14_theta116.74_pdf.dat
alpha,15,123.367013,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin15_theta123.37_pdf.dat
alpha,16,130.541602,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin16_theta130.54_pdf.dat
alpha,17,138.590378,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin17_theta138.59_pdf.dat
alpha,18,148.211669,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin18_theta148.21_pdf.dat
alpha,19,161.805128,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin19_theta161.81_pdf.dat
eminus,00,18.194872,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin00_theta18.19_pdf.dat
eminus,01,31.788331,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin01_theta31.79_pdf.dat
eminus,02,41.409622,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin02_theta41.41_pdf.dat
