pilot_event_id,original_event_id,sampling_method,pilot_event_weight_Bq,event_id,source_name,production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,point_index_within_key,x_cm,y_cm,z_cm,key_activity_Bq,key_rpip_count,event_weight_Bq
52,7009,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7009,RP2_n_136d6fafb04c1a75_29064_gs_002310,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2310,15.03723,-0.3964065,13.14634,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
53,7137,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7137,RP2_n_136d6fafb04c1a75_29064_gs_002438,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2438,8.845522,4.887605,19.56353,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
54,7266,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7266,RP2_n_136d6fafb04c1a75_29064_gs_002567,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2567,18.22458,6.060677,9.665272,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
55,7394,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7394,RP2_n_136d6fafb04c1a75_29064_gs_002695,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2695,12.24556,9.5605,15.6834,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
56,7522,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7522,RP2_n_136d6fafb04c1a75_29066_gs_000116,n,ColdPlate_4K,ColdPlate_4K,29066,Cu-66,0,gs,116,9.731034,-7.064045,18.77088,0.4466373569385927936623652367,658,0.00067878017771822613018596540531914893617021276595744680851063829787234042553191489
57,7650,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7650,RP2_n_136d6fafb04c1a75_29066_gs_000244,n,ColdPlate_4K,ColdPlate_4K,29066,Cu-66,0,gs,244,12.96658,-8.421017,15.40356,0.4466373569385927936623652367,658,0.00067878017771822613018596540531914893617021276595744680851063829787234042553191489
58,7778,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7778,RP2_n_136d6fafb04c1a75_29066_gs_000372,n,ColdPlate_4K,ColdPlate_4K,29066,Cu-66,0,gs,372,15.94821,3.721172,12.33656,0.4466373569385927936623652367,658,0.00067878017771822613018596540531914893617021276595744680851063829787234042553191489
59,7906,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,7906,RP2_n_136d6fafb04c1a75_29066_gs_000500,n,ColdPlate_4K,ColdPlate_4K,29066,Cu-66,0,gs,500,9.293056,6.383646,18.73412,0.4466373569385927936623652367,658,0.00067878017771822613018596540531914893617021276595744680851063829787234042553191489
60,8035,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,8035,RP2_n_136d6fafb04c1a75_29066_gs_000629,n,ColdPlate_4K,ColdPlate_4K,29066,Cu-66,0,gs,629,11.29199,-6.511177,17.32737,0.4466373569385927936623652367,658,0.00067878017771822613018596540531914893617021276595744680851063829787234042553191489
61,8194,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,8194,RP2_n_1d5fa26c30cc07f5_13028_gs_000070,n,ColdPlate_60K,ColdPlate_60K,13028,Al-28,0,gs,70,14.33573,2.307911,27.08877,0.2891603557079643314592212627,426,0.00067878017771822613018596540539906103286384976525821596244131455399061032863849765
