dataset,event_id,primary_energy_keV,depth_from_geoopt_outer_radius_cm,r_cm,z_cm,VN,category,weight
Mass_model_511,604011,1783.5,4.1589900044,23.7410099956,7.531094,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,661383,5060.62,0,27.9793143352,1.756911,CsI_Side_Segment_05,csi,0.125
Mass_model_511,537019,2179.64,7.35383214982,20.5461678502,8.108404,CsI_Side_Segment_05,csi,0.125
Mass_model_511,74310,3352.96,5.19916630324,22.7008336968,-4.540982,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,735971,789.299,13.3515754116,14.5484245884,14.4424,ColdPlate_4K,cold_plates,0.125
Mass_model_511,320865,3719.17,4.09532443209,23.8046755679,-10.53517,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,620486,2361.35,25.9717981224,1.92820187764,-20.78448,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,558813,6891.55,8.84234126677,19.0576587332,-4.316614,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,332889,2787.32,3.87784488466,24.0221551153,-1.90224,CsI_TopAnnulus_Segment_01,csi,0.125
Mass_model_511,328168,6891.55,2.98624289085,24.9137571091,-14.2831,CsI_Side_Segment_01,csi,0.125
Mass_model_511,785163,15659,0,37.6640242683,-23.21528,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
Mass_model_511,251149,3050.35,12.7849220117,15.1150779883,-23.60637,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,outer_mechanics,0.125
Mass_model_511,87084,2100.89,10.0984006436,17.8015993564,-10.60129,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,534543,829.929,8.16774587032,19.7322541297,-12.10333,CsI_Side_Segment_01,csi,0.125
Mass_model_511,549127,6155.1,3.72748463589,24.1725153641,5.26022,CsI_Side_Segment_05,csi,0.125
Mass_model_511,639966,2439.34,3.2150979968,24.6849020032,-2.754916,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,222004,7916.04,10.7321561542,17.1678438458,12.86538,ColdPlate_4K,cold_plates,0.125
Mass_model_511,810656,845.312,9.22303194229,18.6769680577,-12.25883,CsI_Side_Segment_07,csi,0.125
Mass_model_511,347877,3597.55,5.31762836318,22.5823716368,11.32449,CsI_TopAnnulus_Segment_05,csi,0.125
Mass_model_511,702417,3860.44,18.9446161077,8.95538389235,-21.29053,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,538111,5370,9.33893009186,18.5610699081,-17.47607,CsI_Side_Segment_00,csi,0.125
Mass_model_511,926513,582.964,11.0245879265,16.8754120735,-23.15459,CsI_Side_Segment_00,csi,0.125
Mass_model_511,834084,2815.44,0.560281992718,27.3397180073,4.511164,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,880023,2823.88,8.4972124059,19.4027875941,-14.96501,CsI_Side_Segment_06,csi,0.125
Mass_model_511,776280,7725.12,0,32.8392682481,40.098,NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,0.125
Mass_model_511,849763,2561.09,5.06440020766,22.8355997923,-5.707846,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,581975,7916.04,20.4854471342,7.41455286582,7.281601,DR_Continuous_HEX_CuNi_CP_to_Still,other_internal,0.125
Mass_model_511,712853,8139.16,21.3181041779,6.58189582207,-1.414697,ColdPlate_MXC_50mK_SD_anchor,cold_plates,0.125
Mass_model_511,556183,9819.3,0,32.7369923902,28.18794,XS400_Group4_SS_TopPipe_CableGas_MicroConduit_03_HollowTube_300KTop,passive_w_or_collimator,0.125
Mass_model_511,474481,6245.79,18.4020370124,9.49796298758,-12.63035,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,714114,5181.97,6.4083995429,21.4916004571,8.970543,CsI_TopAnnulus_Segment_05,csi,0.125
Mass_model_511,261169,1309.88,4.70464331542,23.1953566846,-16.66215,CsI_Side_Segment_06,csi,0.125
Mass_model_511,83414,2116.13,2.61368549138,25.2863145086,-5.54589,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,732492,490.142,17.1138198704,10.7861801296,-23.08077,CsI_Side_Segment_00,csi,0.125
Mass_model_511,514236,1660.45,13.9015504667,13.9984495333,-22.40856,CsI_Side_Segment_00,csi,0.125
Mass_model_511,197519,3512.02,19.8831997588,8.01680024123,-15.52276,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,673427,1022,0.718920432139,27.1810795679,5.942986,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,705224,551.752,22.4440333153,5.45596668469,-25.63934,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,546152,811.216,1.85693699186,26.0430630081,2.446989,CsI_Side_Segment_02,csi,0.125
Mass_model_511,97682,7725.11,0,36.0986285163,-22.97173,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
Mass_model_511,780504,1437.98,15.8535241242,12.0464758758,-22.91408,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,751884,4149.78,11.8327903903,16.0672096097,16.55996,CsI_TopAnnulus_Segment_04,csi,0.125
Mass_model_511,851791,6891.56,6.05765565939,21.8423443406,-15.14911,CsI_Side_Segment_06,csi,0.125
Mass_model_511,237708,1954.06,8.13090437779,19.7690956222,14.48743,CsI_Side_Segment_03_above_side_port,csi,0.125
Mass_model_511,173909,1440,0,46.2823846012,-23.28672,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
Mass_model_511,502709,924.9,24.1190873627,3.78091263729,-16.32919,Cu_50mK_StillLike_Can_bottom_cap_2mm,other_internal,0.125
Mass_model_511,368470,1355.52,13.0566501475,14.8433498525,20.51671,CsI_TopAnnulus_Segment_04,csi,0.125
Mass_model_511,220642,1674.87,12.0502733481,15.8497266519,-17.77652,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,403952,4824.17,11.8593436278,16.0406563722,-21.06398,CsI_Side_Segment_00,csi,0.125
Mass_model_511,321968,349.544,17.1761990754,10.7238009246,-17.48877,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,392564,4658.5,19.6118972132,8.2881027868,11.07649,ColdPlate_CP_100mK_intercept,cold_plates,0.125
Mass_model_511,524776,4446.59,3.96419516513,23.9358048349,-5.973304,CsI_Side_Segment_01,csi,0.125
Mass_model_511,213481,2127.54,16.2442864402,11.6557135598,-19.7174,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,429725,3912.44,22.3268853809,5.57311461912,-5.024997,ColdPlate_MXC_50mK_SD_anchor,cold_plates,0.125
Mass_model_511,323246,226.619,16.0169272047,11.8830727953,-16.00767,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,559065,3685.7,0,31.3547160736,39.90931,NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,0.125
Mass_model_511,63092,102.338,11.0960208017,16.8039791983,22.4931,XS400_Group3_Cu_Coarse_TopFlange_4K60K,passive_w_or_collimator,0.125
