source_family,window,stage,event_count,rate_or_transfer,rate_units,source_theta_bin,source_phi_bin,first_recorded_volume,first_recorded_material,entry_region,first_recorded_x_cm,first_recorded_y_cm,first_recorded_z_cm,tes_energy_keV,active_veto_energy_keV,side_compton_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,source_file,local_id,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,030_040,000_045,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99887,129.565724726,not_active_veto_pass,side,side_phi03_135deg,114.98103958413681,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,235828,-55.48752,23.28927,-10.84068,0.98843,0.06073,0.13897,129.566
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,040_050,315_360,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_window,,,,510.998897,80.21698774000001,not_active_veto_pass,side,side_neg_x_window_axis_pm15deg,179.71468135254543,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,2392,-55.4356,16.1038,12.0147,0.87627,-0.48067,0.03342,80.217
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,060_070,270_315,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99892,49341.490767403964,not_active_veto_pass,side,side_phi03_135deg,118.71001560122033,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,10024,-32.16132,48.00657,2.70299,0.52939,-0.84727,-0.04335,95895.346
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,080_090,225_270,TP_L3_00081,Ta,unknown,,,,510.999,0.0,single,miss_current_outer_envelope,phi02_090deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,64214,14.47161,77.62503,25.57908,-0.34151,-0.84232,0.41698,41.207
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,080_090,225_270,TP_L3_00081,Ta,unknown,,,,510.999,0.0,single,miss_current_outer_envelope,phi02_090deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,64214,14.47161,77.62503,25.57908,-0.34151,-0.84232,0.41698,41.207
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,080_090,225_270,TP_L3_00081,Ta,unknown,,,,510.999,0.0,single,miss_current_outer_envelope,phi02_090deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,64214,14.47161,77.62503,25.57908,-0.34151,-0.84232,0.41698,41.207
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,030_040,000_045,TP_L2_00163,Ta,unknown,,,,510.99889999999994,0.0,single,miss_current_outer_envelope,phi04_180deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,235494,-63.69264,8.4259,6.93738,0.92633,0.315,0.20661,78.458
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,030_040,000_045,TP_L2_00163,Ta,unknown,,,,510.99889999999994,0.0,single,miss_current_outer_envelope,phi04_180deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,235494,-63.69264,8.4259,6.93738,0.92633,0.315,0.20661,78.458
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,030_040,000_045,TP_L2_00163,Ta,unknown,,,,510.99889999999994,0.0,single,miss_current_outer_envelope,phi04_180deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,235494,-63.69264,8.4259,6.93738,0.92633,0.315,0.20661,78.458
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,070_080,135_180,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,unknown,,,,510.999,0.0,single,miss_current_outer_envelope,phi00_000deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,238305,43.8147,-11.74901,-41.52982,-0.45714,0.30662,0.83487,59.098
