family,window,stage,group_by,group_value,events,fraction_of_stage
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi01_045deg,2,0.03225806451612903
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi06_270deg,2,0.03225806451612903
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi00_000deg,2,0.03225806451612903
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi06_270deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi03_135deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi05_225deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi02_090deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi07_315deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi04_180deg,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_category,geoopt_plastic_active,41,0.6612903225806451
eplus,w2_510p58_511p42,raw,first_hit_category,outer_mechanics,11,0.1774193548387097
eplus,w2_510p58_511p42,raw,first_hit_category,tes,10,0.16129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,33,0.532258064516129
eplus,w2_510p58_511p42,raw,first_hit_volume,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11,0.1774193548387097
eplus,w2_510p58_511p42,raw,first_hit_volume,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,7,0.11290322580645161
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L1_00360,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L2_00019,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L3_00081,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L2_00163,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L1_00007,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L0_00237,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L0_00046,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L4_00113,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L5_00006,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,GeoOpt_S1_PlasticFullWrap_BottomCap_5mm,1,0.016129032258064516
eplus,w2_510p58_511p42,raw,first_hit_volume,TP_L0_00360,1,0.016129032258064516
eplus,w2_510p58_511p42,active_veto_pass,entry_surface_proxy,side,14,0.35
eplus,w2_510p58_511p42,active_veto_pass,entry_surface_proxy,top,13,0.325
eplus,w2_510p58_511p42,active_veto_pass,entry_surface_proxy,miss_current_outer_envelope,13,0.325
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi04_180deg,5,0.125
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi06_270deg,4,0.1
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi00_000deg,3,0.075
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi02_090deg,3,0.075
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi00_000deg,3,0.075
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi05_225deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi01_045deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi01_045deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi00_000deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi05_225deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi03_135deg,2,0.05
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi06_270deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi03_135deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi05_225deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,phi02_090deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi07_315deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi02_090deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_phi07_315deg,1,0.025
