raw_volume,ZA,exc_keV_decimal,custom_activity_Bq,native_store_activity_Bq,relative_delta,status
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,24051,0,0.0004247581459553599355373962342,0.0004247581459553599355373962342,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,25052,0,0.0005728755706061003934884080717,0.0005728755706061003934884080717,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,25053,0,0.000000000005222205058897137651868580012,0.000000000005222205058897137651868580012,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,25054,0,0.00002224150686483417468136361507,0.00002224150686483417468136361507,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,26055,0,0.000006973575649685694137896397167,0.000006973575649685694137896397167,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,26059,0,0.000141428800672924626212725635,0.000141428800672924626212725635,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,27055,0,0.000678544834113591058401713734,0.000678544834113591058401713734,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,27057,0,0.00005094822809645747340369568657,0.00005094822809645747340369568657,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,27058,0,0.00009265386164100624409885482996,0.00009265386164100624409885482996,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,27060,0,0.000003655590910461039375359329257,0.000003655590910461039375359329257,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,27061,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,28059,0,0.0000000004770902565626411608227087267,0.0000000004770902565626411608227087267,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,28063,0,0.00000057271071718492694628337307589999999999999999999999999999999999999999999999999999,0.0000005727107171849269462833730759,0.000000000000000000000000000000000000000000000000000000000000000000000000000000017460822191617942907304003055993369759146929342047499475798807179136413030592341,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,29061,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,29062,0,0.002715120710872904520743861621,0.002715120710872904520743861621,0,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,29064,0,0.1472952981330140363595389995999999999999999999999999999999999999999999999999999,0.1472952981330140363595389996,0.00000000000000000000000000000000000000000000000000000000000000000000000000000067890829692130204392890553007837549286822401868402800491092273714958103322150929,PASS
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,29066,0,0.029187547641883723597996512429999999999999999999999999999999999999999999999999992,0.02918754764188372359799651243,0.00000000000000000000000000000000000000000000000000000000000000000000000000000027408948837209302325581395346439672057445105462412114656780838797678372127234088,PASS
Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,28059,0,0.0000000002385451282813205804113543633,0.0000000002385451282813205804113543633,0,PASS
Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_Stem_YM_ZM_to_MXC,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_Stem_YM_ZM_to_MXC,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_ColdFinger_Stem_YM_ZP_to_MXC,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_Stem_YP_ZM_to_MXC,29064,0,0.002036340527184525848288557599,0.002036340527184525848288557599,0,PASS
Cu_ColdFinger_Stem_YP_ZM_to_MXC,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_ColdFinger_Stem_YP_ZP_to_MXC,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_ColdFinger_Stem_YP_ZP_to_MXC,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_MXC_Clamp_Pad_YM_ZM_for_OffAxisStem,29061,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L1_YM_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L1_YP_panel,29064,0,0.002036340527184525848288557599,0.002036340527184525848288557599,0,PASS
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,27058,0,0.00009265386164100624409885482996,0.00009265386164100624409885482996,0,PASS
