production_tag,raw_volume,ZA,exc_keV_decimal,direct_activity_Bq,tag_native_activity_Bq,relative_delta_vs_direct,classification
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13025,451.7,0,0.000179897,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14025,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,0,0.00001476974091239649761503356871,0.0000147652,0.00030744699067038807342747606342651963118995642057593029113786421382031550738030795,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,0,0.001357408327428607109018892409,0.00135741,0.0000012321800000000000000000745180918195892400000000000055529391662121509863200000004,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,15030,0,0.001357408327428607109018892409,0.00135741,0.0000012321800000000000000000745180918195892400000000000055529391662121509863200000004,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9022,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,0,0.00002215461136859474642255035307,0.0000221478,0.00030744699067038807342747628904378196476514134432368659667747822074746695001597538,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,0,0.00135740825038515144604709121,0.00135741,0.0000012889378328572237855488474490163464647247186990315504096292697791267828847215132,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,0,0.0000000001077823964394627649321703059,0.000000000107782,0.0000036781466720086985633432827835717843927437964849142516825592571065222520380808411,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13029,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,15030,0,0.002036112491142910663528338614,0.00203611,0.000001223480000000000000000171047790726192959999999999970742617491866146577920000005,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11025,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
