event_index,event_key,source_family,stream,local_id,source_file_basename,tes_total_keV,init_energy_keV,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,theta_local_deg,phi_local_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_hit_volume,first_hit_category,tes_x_cm,tes_y_cm,tes_z_cm,path_length_init_to_tes_cm,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,computed_veto_layer,final_pass_flag
70,muplus::Background_muplus_fullsphere20_rep07_part01.inc1.id1.sim.gz::1383,muplus,prompt,1383,Background_muplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99889999999994,615.955,38.15046,-48.25701,27.6449,-0.34007,0.71058,-0.61598,132.53406683194623,74.64711503579512,top,top,top_phi00_000deg,338.2112579394134,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-5.948827625661816,-0.5659589502990124,-1.7060725174310551,71.27877038105404,1.46917,4091.6810864000017,single,True,non_plastic_active_veto,False
71,muplus::Background_muplus_fullsphere20_rep07_part01.inc1.id1.sim.gz::2373,muplus,prompt,2373,Background_muplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.998943,1492.262,-20.23382,28.34115,54.74951,0.5116,-0.62482,-0.5898,93.1698320438007,321.2606971523479,envelope_miss,miss_current_outer_envelope,phi03_135deg,,left_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-1.7284920964753603,0.5001703524283089,-3.957442613210776,67.55792768937813,0.0,547.3798799999998,keep,True,non_plastic_active_veto,False
72,muplus::Background_muplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::1858,muplus,prompt,1858,Background_muplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99892,358.74,38.72152,-48.27644,33.88336,-0.55881,0.40651,-0.72283,154.99288996202966,74.07624541079662,side_wall,side,side_phi06_270deg,290.4213008870109,right_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-1.7774745998861623,-0.6512356716531627,-6.054480223416411,74.18463272558228,3979.6615324420013,11158.743845329996,keep,True,plastic_skin_veto,False
73,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::121496,n,prompt,121496,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998874,1.287,-11.22642,-37.72194,-42.65044,0.45864,0.66997,0.58376,42.51561412171598,97.52269383790312,side_wall,side,side_phi07_315deg,315.2974099528881,left_lower,MuMetal_MagShield_Outer_Cylinder_2mm,outer_mechanics,-6.176303023723758,-0.3140511268098806,-2.1414120283214246,55.369984455779395,0.7304412,3488.9510524150005,single,True,non_plastic_active_veto,False
74,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::167319,n,prompt,167319,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99888,374.36,30.07172,58.18795,-15.04729,-0.73052,-0.67481,0.10474,116.26309240758793,228.8064171277889,side_wall,side,side_phi02_090deg,79.67702600673444,right_lower,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,outer_mechanics,-2.013043481223481,-0.6409655212615339,-4.370587539828894,67.85473693469604,0.0,266.2318574,keep,True,non_plastic_active_veto,False
75,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::457587,n,prompt,457587,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890000000005,39.166,45.25001,24.76627,-35.08197,-0.6197,-0.60614,0.49857,94.91349513745675,217.4720190536553,side_wall,side,side_phi00_000deg,5.187944725103808,right_lower,CsI_TopAnnulus_Segment_07,csi_active,-1.6926364897272772,-0.7874963095290811,-6.02634816005866,60.83449837524104,20.41795,3862.339604950002,single,True,non_plastic_active_veto,False
76,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::506085,n,prompt,506085,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.9989002489,107.802,33.74533,4.65292,-50.79446,-0.60384,-0.29365,0.74104,84.43267191249814,197.16009951463028,side_wall,side,side_phi00_000deg,348.94308467725074,right_lower,Shield_4K_Al_side_window_bottom_cap,window_or_side_port,-5.311382299637477,1.4323778940509715,-1.0551881637323404,63.322932890975395,95.760747,673.0792726433001,keep,True,plastic_skin_veto,False
77,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::620364,n,prompt,620364,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.999,0.58,44.92282,38.38009,-20.03188,-0.57985,-0.7517,0.3142,100.82692292921789,229.9357574684037,top,top,top_phi00_000deg,354.38622311791244,right_lower,ColdPlate_CP_100mK_intercept,other,-1.8646649303879264,1.037422865692692,-5.9905933890453795,61.48740736529656,0.0,220.38625000000002,single,True,non_plastic_active_veto,False
78,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::737005,n,prompt,737005,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99891,11.383,-5.94772,28.8705,-50.22419,0.3666,-0.60308,0.70845,40.52044135448122,248.15826942073775,side_wall,side,side_phi01_045deg,27.115823725746274,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-4.97185183788461,1.5921888982128594,-2.58273729073436,54.90689020045579,0.0020770475,0.0,single,True,final_pass,True
79,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::745151,n,prompt,745151,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99894000000006,28883.468,42.51448,45.20788,-6.18447,-0.65571,-0.73737,0.16227,110.42093411717266,231.88906561159394,top,top,top_phi01_045deg,57.311053531877164,right_lower,ColdPlate_CP_100mK_intercept,other,-4.510965324204449,-1.1423280356852323,-3.585359620421756,66.07941939557485,0.0,0.0,keep,True,final_pass,True
80,n::Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz::875954,n,prompt,875954,Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99892,3.694,-8.55558,-64.66189,14.13652,-0.10139,0.87879,-0.46631,113.66730235623831,73.63628075230802,side_wall,side,side_phi06_270deg,259.4408478366459,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.119923548404486,-1.256233124991184,-3.862940474629692,66.13474323068687,3.6454891099999998,1247.58978435045,single,True,non_plastic_active_veto,False
81,n::Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz::10145,n,prompt,10145,Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.998922,0.0,-0.40666,-51.26889,47.87556,0.47642,0.77765,-0.41023,87.31738844976576,51.12357912764623,envelope_miss,miss_current_outer_envelope,phi05_225deg,,left_upper,G10_Support_Ring_60K_Top,g10_passive,-5.307702909349603,-0.08216450911418294,-2.8839846298147744,72.25394424600461,0.0,0.0,keep,True,final_pass,True
82,n::Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz::272055,n,prompt,272055,Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.9988400000001,189.653,-13.23673,39.65654,-41.03185,0.11825,-0.82391,0.55424,61.60652897045375,249.48510470611293,bottom,bottom,bottom_phi01_045deg,54.37108058656015,left_lower,CsI_Bottom_Quadrant_00,csi_active,-2.3310728266551046,0.9392212688875771,-6.733694601128173,52.86139982893225,0.0,287.95718519499997,single,True,non_plastic_active_veto,False
83,n::Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz::296032,n,prompt,296032,Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99895999999995,0.036,48.6144,4.35429,49.1759,-0.64746,-0.36764,-0.66756,158.41293526957568,272.21393422084907,top,top,top_phi06_270deg,271.5575088686222,right_upper,CsI_Side_Segment_06,csi_active,-3.7396291101211054,0.7955957262547539,-2.7849015397193377,73.84804374963154,312.124218,1013.8509832399997,single,True,plastic_skin_veto,False
84,n::Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz::804987,n,prompt,804987,Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99889999999994,0.628,7.47393,22.86954,-52.85176,0.19179,-0.38434,0.90305,39.270265253327025,217.38675480226306,side_wall,side,side_phi00_000deg,21.302505243534544,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.1888043612671186,-0.20050330407709296,-4.0315234881662185,55.03940674809574,0.17521899000000002,176.952012,keep,True,non_plastic_active_veto,False
85,n::Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz::305203,n,prompt,305203,Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.9989,1.951,-46.18475,32.94576,-10.1405,0.9379,-0.32649,0.11727,41.74493581837809,330.635765071102,side_wall,side,side_phi03_135deg,115.10192565233977,left_lower,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,outer_mechanics,-2.1096904475156406,-0.13637493126495967,-4.6020127844345655,55.38694220484144,0.9826515,3179.637698269501,single,True,non_plastic_active_veto,False
