transport_stage,band,filter_stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
S0,b480_550,active_veto_pass,5,5,0.004127093889338944,0.006760343383854267,0.0018456924972171747,0.003023317471507819,0.0026332494945153235,0.003542178613199538,0.7433982816966964,0.6380396388164321,0.8582742986171573,-1.0441779864731964,2.3202572641060604
S0,b480_550,side_compton_fov_pass,3,5,0.0024762563336033663,0.006760343383854267,0.0014296672607884194,0.003023317471507819,0.004284087050250901,0.0033443081511868333,1.281008464704593,1.7300660646940536,1.3505500645485706,-0.9170120618211448,4.377144191209252
S0,w2_510p58_511p42,raw,1,6,0.0008254187778677888,0.00811241206062512,0.0008254187778677888,0.00331187835528863,0.007286993282757332,0.003413188304076714,2.13495202536987,8.82823783289859,4.135098928683957,0.7234439326780358,16.933031733119144
S0,w2_510p58_511p42,active_veto_pass,1,3,0.0008254187778677888,0.00405620603031256,0.0008254187778677888,0.00234185164348954,0.0032307872524447714,0.002483059660775676,1.301131544876177,3.9141189164492958,3.008242273322015,-1.9820359392618534,9.810273772160444
S0,w2_510p58_511p42,side_compton_fov_pass,1,3,0.0008254187778677888,0.00405620603031256,0.0008254187778677888,0.00234185164348954,0.0032307872524447714,0.002483059660775676,1.301131544876177,3.9141189164492958,3.008242273322015,-1.9820359392618534,9.810273772160444
S0,b550_800,raw,7,9,0.0057779314450745215,0.01216861809093768,0.0021838528137210346,0.00405620603031256,0.0063906866458631586,0.004606736423146136,1.387248164178381,1.1060509641925553,0.7972985603824035,-0.4566542141569556,2.6687561425420663
S0,b550_800,active_veto_pass,3,5,0.0024762563336033663,0.006760343383854267,0.0014296672607884194,0.003023317471507819,0.004284087050250901,0.0033443081511868333,1.281008464704593,1.7300660646940536,1.3505500645485706,-0.9170120618211448,4.377144191209252
S0,b550_800,side_compton_fov_pass,2,4,0.0016508375557355776,0.005408274707083414,0.001167318430298052,0.002704137353541707,0.003757437151347836,0.002945333791700536,1.2757254074005715,2.2760792776328636,1.7841451337640297,-1.2208451845446344,5.7730037398103615
S0,b800_1500,raw,12,6,0.009905025334413465,0.00811241206062512,0.002859334521576839,0.00331187835528863,-0.0017926132737883446,0.00437542365337465,-0.4097005034942728,-0.180980180591784,0.4417377548922488,-1.0467861801805918,0.6848258189970237
S0,b800_1500,active_veto_pass,10,6,0.008254187778677887,0.00811241206062512,0.0026102033615347945,0.00331187835528863,-0.00014177571805276679,0.004216835285945713,-0.033621355457086735,-0.017176216710140763,0.5108722261975416,-1.0184857800573224,0.9841333466370408
S0,b800_1500,side_compton_fov_pass,3,4,0.0024762563336033663,0.005408274707083414,0.0014296672607884194,0.002704137353541707,0.0029320183734800474,0.00305880815079825,0.9585492874781589,1.1840528517552427,1.2352550538849802,-1.2370470538593188,3.605152757369804
S0,b1500_3000,raw,80,55,0.0660335022294231,0.07436377722239698,0.0073827699888686996,0.010027209675117438,0.008330274992973882,0.01245191658249079,0.6689954062724338,0.12615225168629768,0.18856968299558835,-0.24344432698505547,0.4957488303576508
S0,b1500_3000,active_veto_pass,68,45,0.056128476895009626,0.0608430904546884,0.006806577613034269,0.009069952414523456,0.004714613559678775,0.01133990897688245,0.4157540919675803,0.0839968198049919,0.20203486009595745,-0.31199150598308467,0.4799851455930685
S0,b1500_3000,side_compton_fov_pass,64,40,0.052826801783538484,0.05408274707083414,0.006603350222942311,0.008551233143131783,0.001255945287295654,0.010804065088429805,0.11624747509533795,0.02377477426026996,0.20451862924998218,-0.3770817390696951,0.42463128759023505
S0,b3000_8000,raw,12,3,0.009905025334413465,0.00405620603031256,0.002859334521576839,0.00234185164348954,-0.005848819304100905,0.00369595224893338,-1.5824932007140577,-0.590490090295892,0.3731391010270686,-1.3218427283089462,0.14086254771716245
