mode,band,stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
buildup,all_50_8000,active_veto_pass,77,114,0.7125241508649224,0.9161142175546803,0.12303378423296074,0.11817027445055585,0.20359006668975788,0.17059169331008597,1.1934348193595246,0.2857307593611009,0.23941882265044248,-0.18353013303376636,0.754991651755968
buildup,all_50_8000,side_compton_fov_pass,53,83,0.5496741181838628,0.705895821358908,0.11845803657659039,0.11197621229990888,0.15622170317504525,0.16300606906067974,0.958379673071504,0.2842078569957154,0.2965503807951808,-0.29703088936283906,0.8654466033542698
buildup,b100_300,raw,135,150,1.0111766316277064,1.0647720933741898,0.10960553794616788,0.09901401276614498,0.05359546174648333,0.14770629191921097,0.36285158235370063,0.053003066002632895,0.14607368020505568,-0.23330134719927625,0.339307479204542
buildup,b100_300,active_veto_pass,18,41,0.16965032070777564,0.3259009809866778,0.06104744259145927,0.06924750841877235,0.15625066027890216,0.09231472076091365,1.6925866101418052,0.9210160029584942,0.5441470453800478,-0.14551220598639936,1.9875442119033877
buildup,b100_300,side_compton_fov_pass,12,35,0.12894017288922893,0.2852181329432177,0.05874156016872717,0.06722624786039108,0.15627796005398875,0.08927451647834857,1.7505326964374015,1.2120191601437158,0.6923716207131451,-0.14502921645404854,2.56906753674148
buildup,b300_480,raw,87,81,0.6380669096131402,0.6441978024257785,0.0831066309023092,0.09763855048990329,0.006130892812638344,0.1282185581017898,0.0478159550645638,0.009608542176800084,0.2009484525369427,-0.3842504247956076,0.40346750914920776
buildup,b300_480,active_veto_pass,18,20,0.16969362889041353,0.1832505184843895,0.06105225617478196,0.06185634268043584,0.013556889593975968,0.08691136354833418,0.1559852364580214,0.07989038647249906,0.5121663324464625,-0.9239556251225675,1.0837363980675656
buildup,b300_480,side_compton_fov_pass,17,15,0.1629086042539891,0.14934814511483938,0.06067405891082543,0.059969433428888025,-0.013560459139149716,0.08530928654311995,-0.15895642419064804,-0.08323967417956481,0.523663479493785,-1.1096200939873835,0.9431407456282538
buildup,b480_550,raw,28,31,0.19002789685424765,0.3052646326700857,0.035911902043138565,0.08506332372434393,0.11523673581583804,0.09233327542868017,1.2480520731104021,0.6064200979092307,0.48589326597399674,-0.3459307033998029,1.5587708992182643
buildup,b480_550,active_veto_pass,6,10,0.04075735485290974,0.06785600731753945,0.016639122674722683,0.021458043772319114,0.02709865246462971,0.027153416836914534,0.9979831498697294,0.664877604604782,0.6662212730661544,-0.6409160906048808,1.9706712998144447
buildup,b480_550,side_compton_fov_pass,5,6,0.03396288880961268,0.04071042731733774,0.015188667965656296,0.0166200659909877,0.006747538507725061,0.02251493344684234,0.2996916923452592,0.19867386857313718,0.6629275140008063,-1.100664058868443,1.4980117960147177
buildup,w2_510p58_511p42,raw,12,14,0.08145806126458385,0.19009418689362623,0.023514921853775347,0.08034622495659431,0.10863612562904237,0.08371658984075271,1.2976654428434327,1.3336448712691733,1.027726274614282,-0.6806986269748192,3.347988369513166
buildup,w2_510p58_511p42,active_veto_pass,4,5,0.027177864173188224,0.03395363394798935,0.013588932086594112,0.015184645485393694,0.006775769774801127,0.020377255305147307,0.3325163116099136,0.24931207734438626,0.7497739769135383,-1.220244917406149,1.7188690720949213
buildup,w2_510p58_511p42,side_compton_fov_pass,3,4,0.020383398129891168,0.027149477969517697,0.01176836039729198,0.013574863532931577,0.006766079839626529,0.017965834975816344,0.3766081481174847,0.33194071942815234,0.8813954798572278,-1.3955944210920141,2.0594758599483187
buildup,b550_800,raw,30,40,0.20363986738714412,0.2711798375007797,0.03717943284639765,0.042877318901168054,0.06753997011363555,0.05675186959856262,1.1900924249964475,0.33166378951344466,0.27868742170544836,-0.21456355702923413,0.8778911360561235
