production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,inventory_activity_Bq,source_activity_Bq,relative_delta,activity_fraction,rpip_count,source_rows,status
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,15030,P-30,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,Na-22,0,gs,0.00002215461136859474642255035307,0.00002215461136859474642255035307,0,0.00000025465116765998481494374312652934366082050625815284243232310290351724528869734297,3,3,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0,gs,0.00135740825038515144604709121,0.00135740825038515144604709121,0,0.000015602422006006111561143706497303135361958765376561902504080210108221728445093359,2,2,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,Al-26,0,gs,0.0000000001077823964394627649321703059,0.0000000001077823964394627649321703059,0,0.0000000000012388803689604745245337012005653890026751572857503947297100210925492086261906149,4,4,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13029,Al-29,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,Si-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,15030,P-30,0,gs,0.002036112491142910663528338614,0.002036112491142910663528338614,0,0.000023403634337347021167526522681985677223124340778360127474701107088105077996465907,3,3,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,11025,Na-25,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,15030,P-30,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,Na-22,0,gs,0.000007384870456198248807516784355,0.000007384870456198248807516784355,0,0.000000084883722553328271647914375490624097374552224050864750547896106020122166002575196,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,Mg-23,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,Al-26,0,gs,0.00000000008083679732959707369912772942,0.000000000080836797329597073699127729419999999999999999999999999999999999999999999999999999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000012370603896177197074359189930032463307936581671216887430291194561448040270249524,0.00000000000092916027672035589340027590036657038330951837831254786660310123395502767895334376,3,3,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,P-30,0,gs,0.002036112491142910663528338614,0.002036112491142910663528338614,0,0.000023403634337347021167526522681985677223124340778360127474701107088105077996465907,3,3,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,9018,F-18,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11022,Na-22,0,gs,0.000007384870456198248807516784355,0.000007384870456198248807516784355,0,0.000000084883722553328271647914375490624097374552224050864750547896106020122166002575196,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11024,Na-24,0,gs,0.0006787041251925757230235456049,0.0006787041251925757230235456049,0,0.000007801211003003055780571853247502140307042390968275987638451813344973288408754332,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,12027,Mg-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,13026,Al-26,0,gs,0.0000000001077823964394627649321703059,0.0000000001077823964394627649321703059,0,0.0000000000012388803689604745245337012005653890026751572857503947297100210925492086261906149,4,4,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,15029,P-29,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,15030,P-30,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,Window,14027,Si-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,15030,P-30,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Shield_60K_Al_side_window_side_wall_below_side_port,Window,13025,Al-25,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Still_Shield_Al_side_window_side_wall_below_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,11024,Na-24,0,gs,0.0006787041251925757230235456049,0.0006787041251925757230235456049,0,0.000007801211003003055780571853247502140307042390968275987638451813344973288408754332,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9018,F-18,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,Na-22,0,gs,0.00001476974091239649761503356871,0.00001476974091239649761503356871,0,0.00000016976744510665654329582875098124819474910444810172950109579221204024433200515039,2,2,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,0.001357408327428607109018892409,0.001357408327428607109018892409,0,0.000015602422891564680778351015117492360235626254785556872937839765694944799285002779,2,2,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,Al-26,0,gs,0.0000000002155647928789255298643406117,0.0000000002155647928789255298643406117,0,0.0000000000024777607379209490490674023999813506314133228514958258458317504759608414385888821,8,8,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,15030,P-30,0,gs,0.003393520818571517772547231023,0.003393520818571517772547231023,0,0.000039006057228911701945877537799478037458750595563917000412540872783049877281468686,5,5,PASS
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,9020,F-20,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
