replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,Z20d,flux_3sigma_20d_ph_cm2_s,reference_prompt_final_cps,reference_delayed_final_cps,reference_signal_final_cps,reference_Z20d,reference_flux_3sigma_20d_ph_cm2_s
32,26324709,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27956,0.7516266064418994,0.0060439261423447955,0.0011156761271538876,18.273356752698678,1.6417344884140946e-05,0.04137529079730258,0.0036999863806205166,0.0011167137426677663,6.851183352668276,4.3788055954328154e-05
33,26332628,5,0.003393031514121508,31,0.0009633790974369737,8,0.0015552613519498118,27905,0.7502554175404637,0.005911671963508293,0.001113640804415125,18.4756559556524,1.623758315916349e-05,0.04137918305710359,0.003842293549105921,0.0011166339260897757,6.839768752403602,4.386113198557705e-05
34,26340547,5,0.003393031514121508,30,0.0009323023523583617,8,0.0015552613519498118,27958,0.7516803785556812,0.005880595218429681,0.0011157559437318782,18.555814921988677,1.616743868492132e-05,0.040696848175908844,0.0036999863806205166,0.0011134412629701482,6.8831717994012465,4.3584557925184495e-05
35,26348466,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27934,0.7510351131902996,0.006012849397266183,0.0011147981447959898,18.30230093583587,1.63913816657118e-05,0.04341050545041831,0.003842293549105921,0.0011155564022869015,6.684485886520563,4.488004090261567e-05
36,26356385,5,0.003393031514121508,26,0.0008079953720439133,9,0.0017496690209435383,27852,0.7488304565252462,0.00595069590710896,0.0011115256650983717,18.335899758359016,1.6361345990847014e-05,0.040696848175908844,0.003842293549105921,0.0011157559437318782,6.88661480332512,4.356276756689638e-05
37,26364304,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27923,0.7507393665644998,0.006012849397266183,0.001114359153617041,18.29509375756917,1.639783889469722e-05,0.04001840555451511,0.003984600717591325,0.0011177114498926502,6.940822823442173,4.322254113543566e-05
38,26372223,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27892,0.749905898800882,0.006012849397266183,0.0011131219966581854,18.274782626009912,1.6416063935721985e-05,0.040018631976646096,0.003842293549105921,0.001117591725025664,6.9511463791383905,4.315834880133623e-05
39,26380142,4,0.0027145856707217345,31,0.0009633790974369737,8,0.0015552613519498118,27872,0.7493681776630641,0.00523322612010852,0.0011123238308782784,19.591409550522094,1.5312833883971624e-05,0.04205384662976181,0.003984600717591325,0.0011157958520208735,6.773808215128076,4.428823351242869e-05
40,26388061,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27965,0.7518685809539174,0.006075002887423408,0.0011160353017548455,18.23617363148795,1.6450819457103512e-05,0.0400185187655806,0.0036999863806205166,0.0011198664974983988,6.97646479440433,4.300172205278288e-05
41,26395980,4,0.0027145856707217345,30,0.0009323023523583617,9,0.0017496690209435383,27986,0.7524331881486263,0.005396557044023634,0.001116873375823748,19.33815086597265,1.5513375714111273e-05,0.039340076144186865,0.003984600717591325,0.001117232550424706,6.992030087876297,4.290599385723176e-05
