probe,day_mid,altitude_km,latitude_deg,longitude_deg,particle,angle_bin,direction,energy_bin,energy_MeV,flux_proxy
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,43,124.519708474,1.6780273839926987e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,44,155.051577983,1.2645272862357526e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,45,193.069772888,1.1569635120580606e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,46,240.409918351,1.0324359162324224e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,47,299.357729472,8.746005661955991e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,48,372.759372031,7.097686353905802e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,49,464.158883361,5.608868807194831e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,50,577.969288415,4.361976069383875e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,51,719.685673001,3.3660673358959015e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,52,896.150501947,2.6207204938219734e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,53,1115.88399251,2.084830619815646e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,54,1389.49549437,1.6956827535490034e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,55,1730.19573885,1.3979318897845139e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,56,2154.43469003,1.1540598175511725e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,57,2682.69579528,9.45744005859061e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,58,3340.48498351,7.650138350192416e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,59,4159.56216307,6.102935744321613e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,60,5179.47467923,4.8046738752655195e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,61,6449.46677104,3.721180528480607e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,62,8030.85722139,2.8393792624403396e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,63,10000.0,2.141529848364203e-08
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,0,0.01,0.03135204313898622
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,1,0.0124519708474,0.02588415969048078
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,2,0.0155051577983,0.0214214479971349
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,3,0.0193069772888,0.017776739318089544
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,4,0.0240409918351,0.01479722693802984
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,5,0.0299357729472,0.012358187764701345
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,6,0.0372759372031,0.010357892600408635
