event_index,stream,tag,local_id,primary,source_volume,component,rate_hz,tes_total_keV,bgo_total_keV,source_file
112235,prompt,eplus,20619,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
112783,prompt,eplus,29279,eplus,,prompt:eplus,0.0006792218562725798,510.998895,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
114547,prompt,eplus,55913,eplus,,prompt:eplus,0.0006792218562725798,510.999,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
114674,prompt,eplus,57706,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
118683,prompt,eplus,120390,eplus,,prompt:eplus,0.0006792218562725798,510.99888,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
122140,prompt,eplus,173330,eplus,,prompt:eplus,0.0006792218562725798,510.998997,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
122939,prompt,eplus,185900,eplus,,prompt:eplus,0.0006792218562725798,510.99893000000003,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
124704,prompt,eplus,212464,eplus,,prompt:eplus,0.0006792218562725798,510.998877,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
183325,prompt,muplus,3340,muplus,,prompt:muplus,0.0006733204190476959,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_muplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
242233,prompt,n,763888,n,,prompt:n,0.0006786092852751285,510.99893493689996,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz
280189,prompt,n,294474,n,,prompt:n,0.0006786092852751285,510.99889999999994,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz
509692,prompt,n,426555,n,,prompt:n,0.0006786092852751285,510.99895000000004,0.3907744,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
549417,prompt,n,943943,n,,prompt:n,0.0006786092852751285,510.99889999999994,0.1871969,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
609834,prompt,n,771980,n,,prompt:n,0.0006786092852751285,510.99893899999995,9.291398e-05,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
615366,prompt,n,843879,n,,prompt:n,0.0006786092852751285,510.99889800000005,0.3376942,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
837187,delayed,activation,56741,Cu64,DR_MixingChamber_Cu,delayed:Cu64:DR_MixingChamber_Cu,8.672670468210059e-05,510.99888999999996,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
