source_name,theta_min_deg,theta_max_deg,phi_min_deg,phi_max_deg,flux_cm2_s,delta_mu,delta_omega_sr,particle,bin,expected_delta_mu,delta_mu_abs_diff_from_equal_mu,expected_delta_omega_sr,delta_omega_abs_diff
Atm_gamma_bin18_up,143.13,154.158,0.0,360.0,0.314438649056,0.1000005603322881,0.6283220513895583,gamma,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_gamma_bin19_up,154.158,180.0,0.0,360.0,0.3079972593917,0.10000051151920342,0.6283217446879019,gamma,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_muminus_bin00_down,0.0,25.842,0.0,360.0,0.0003391938055382,0.1000005115192032,0.6283217446879005,muminus,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_muminus_bin01_down,25.842,36.87,0.0,360.0,0.0003537963722569,0.10000056033228821,0.6283220513895591,muminus,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_muminus_bin02_down,36.87,45.573,0.0,360.0,0.0003688936390456,0.09999897801512847,0.6283121093976297,muminus,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_muminus_bin03_down,45.573,53.13,0.0,360.0,0.0003845473889062,0.0999985210007176,0.6283092378913981,muminus,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_muminus_bin04_down,53.13,60.0,0.0,360.0,0.0004008425287353,0.10000142913266241,0.6283275102233051,muminus,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_muminus_bin05_down,60.0,66.422,0.0,360.0,0.0004179004676743,0.10000285497617001,0.6283364690622824,muminus,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_muminus_bin06_down,66.422,72.542,0.0,360.0,0.0004359051926244,0.09999053728709167,0.628259074739247,muminus,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_muminus_bin07_down,72.542,78.463,0.0,360.0,0.0004551615462103,0.10000590717071561,0.628355646566206,muminus,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
